symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime
sz399232,采矿指数,2075.289,-29.912,-1.421,0.000,0.000,2105.201,2102.680,2102.680,2039.098,634672857,5332788232,399232,15:00:03
sz399233,制造指数,3011.259,-16.489,-0.545,0.000,0.000,3027.748,3034.371,3042.932,2980.856,26727617285,469701601459,399233,15:00:03
sz399234,水电指数,770.412,-1.772,-0.229,0.000,0.000,772.184,764.775,776.775,753.607,1415948678,8648213491,399234,15:00:03
sz399235,建筑指数,1048.979,1.469,0.140,0.000,0.000,1047.510,1046.865,1055.468,1024.937,540978220,3249698316,399235,15:00:03
sz399236,批零指数,1412.711,11.493,0.820,0.000,0.000,1401.218,1396.417,1418.779,1383.325,1021941141,7564410660,399236,15:00:03
sz399237,运输指数,1457.497,-7.596,-0.518,0.000,0.000,1465.093,1479.175,1500.663,1433.928,353717195,6267644885,399237,15:00:03
sz399238,餐饮指数,896.949,-1.817,-0.202,0.000,0.000,898.766,897.204,902.494,870.633,25478825,108665577,399238,15:00:03
sz399239,IT指数,1776.301,44.225,2.553,0.000,0.000,1732.076,1732.318,1794.165,1727.126,3876117476,41052545129,399239,15:00:03
sz399240,金融指数,1469.932,-10.284,-0.695,0.000,0.000,1480.216,1477.525,1483.676,1455.356,2091666306,31498226134,399240,15:00:03
sz399241,地产指数,2422.465,31.978,1.338,0.000,0.000,2390.487,2391.522,2430.524,2376.007,1031815549,8235587991,399241,15:00:03
sz399242,商务指数,1316.363,26.375,2.045,0.000,0.000,1289.988,1304.381,1344.677,1303.266,955799789,7463078808,399242,15:00:03
sz399243,科研指数,2356.210,-31.134,-1.304,0.000,0.000,2387.344,2389.984,2416.144,2346.273,160387980,4808219865,399243,15:00:03
sz399244,公共指数,712.481,13.370,1.912,0.000,0.000,699.111,698.322,717.243,689.687,474235402,3194375988,399244,15:00:03
sz399248,文化指数,1003.480,26.978,2.763,0.000,0.000,976.502,967.748,1005.954,963.789,498028927,4225361192,399248,15:00:03
sz399249,综企指数,793.419,-14.611,-1.808,0.000,0.000,808.030,801.865,809.143,778.354,81985021,594143197,399249,15:00:03
sz399275,创医药,6518.619,33.285,0.513,0.000,0.000,6485.334,6500.546,6583.349,6432.580,585469800,28302035206,399275,15:00:03
sz399276,创科技,6936.142,-7.886,-0.114,0.000,0.000,6944.028,7007.632,7037.461,6850.344,1081880492,48162360069,399276,15:00:03
sz399277,公共健康,4154.435,87.867,2.161,0.000,0.000,4066.568,4088.764,4166.603,4086.798,1008766456,36102434145,399277,15:00:03
sz399278,长江100,2690.124,-31.411,-1.154,0.000,0.000,2721.535,2723.918,2732.605,2658.342,4763287801,137521640760,399278,15:00:03
sz399279,云科技50,3612.965,60.842,1.713,0.000,0.000,3552.123,3552.350,3647.855,3552.350,1931120107,47740246338,399279,15:00:03
sz399280,生物50,4868.692,44.931,0.931,0.000,0.000,4823.761,4846.813,4904.795,4817.504,641384016,27466558237,399280,15:00:03
sz399281,电子50,4031.506,40.645,1.018,0.000,0.000,3990.861,4008.620,4055.148,3987.816,2973444053,47427510732,399281,15:00:03
sz399282,大数据50,4696.143,101.624,2.212,0.000,0.000,4594.519,4576.640,4731.660,4575.639,1747729347,28014814388,399282,15:00:03
sz399283,机器人50,3609.199,4.303,0.119,0.000,0.000,3604.896,3611.965,3627.250,3555.463,635637652,13914455899,399283,15:00:03
sz399284,AI 50,3675.453,66.461,1.842,0.000,0.000,3608.992,3610.585,3702.259,3609.952,1347998912,31224340917,399284,15:00:03
sz399285,物联网50,4443.387,17.313,0.391,0.000,0.000,4426.074,4423.576,4469.750,4403.354,2212080716,51895619674,399285,15:00:03
sz399286,区块链50,3924.471,45.284,1.167,0.000,0.000,3879.187,3885.286,3945.111,3872.764,2144535259,34931828017,399286,15:00:03
sz399290,深转交债,147.117,-0.535,-0.362,0.000,0.000,147.652,147.950,148.104,146.450,75386024,12579316651,399290,15:00:03
sz399291,创精选88,3694.927,6.772,0.184,0.000,0.000,3688.155,3677.247,3739.613,3616.279,1210908767,21367966567,399291,15:00:03
sz399292,民企发展,1175.997,5.848,0.500,0.000,0.000,1170.149,1169.251,1181.360,1151.573,6336576773,49610372220,399292,15:00:03
sz399293,创业大盘,6143.846,-43.188,-0.698,0.000,0.000,6187.034,6228.437,6260.552,6072.275,1458538127,79836233995,399293,15:00:03
sz399294,中小创Q,4568.110,-24.869,-0.541,0.000,0.000,4592.979,4610.959,4635.905,4529.225,2498358530,65209625089,399294,15:00:03
sz399295,创业蓝筹,6691.185,-1.516,-0.023,0.000,0.000,6692.701,6708.071,6742.206,6623.084,929430969,38382684146,399295,15:00:03
sz399296,创成长,7033.552,-108.681,-1.522,0.000,0.000,7142.233,7181.839,7207.764,6946.375,1390205807,77091121652,399296,15:00:03
sz399297,新浪100,3394.541,21.893,0.649,0.000,0.000,3372.648,3364.710,3421.257,3306.126,1545783053,8178018273,399297,15:00:03
sz399298,深信中高,179.087,0.027,0.015,0.000,0.000,179.060,179.080,179.088,179.072,1165715,106239905,399298,15:00:03
sz399299,深信中低,199.637,0.064,0.032,0.000,0.000,199.573,199.603,199.683,199.574,767359,68023861,399299,15:00:03
sz399300,沪深300,5495.431,-18.226,-0.331,0.000,0.000,5513.657,5526.288,5547.473,5442.694,20432495600,473567653979,399300,15:00:39
sz399301,深信用债,182.245,0.028,0.015,0.000,0.000,182.217,182.238,182.246,182.228,1166225,106288405,399301,15:00:03
sz399302,深公司债,186.251,0.033,0.018,0.000,0.000,186.218,186.240,186.253,186.223,1166225,106288405,399302,15:00:03
sz399303,国证2000,7034.824,-21.287,-0.302,0.000,0.000,7056.111,7037.161,7090.275,6918.695,23539886226,235101941325,399303,15:01:54
sz399306,深证ETF,1764.148,-4.513,-0.255,0.000,0.000,1768.661,1770.190,1777.346,1750.631,5733830284,10431716453,399306,15:00:03
sz399307,深证转债,265.383,-1.088,-0.408,0.000,0.000,266.471,267.026,267.345,264.445,258389541,54166512112,399307,15:00:03
sz399310,国证A50,9515.093,-63.668,-0.665,0.000,0.000,9578.761,9620.910,9667.570,9405.279,5527548616,196745905103,399310,15:01:54
sz399311,国证1000,5349.632,-13.067,-0.244,0.000,0.000,5362.699,5373.346,5391.636,5300.293,43071233884,773809948733,399311,15:01:54
sz399312,国证300,6425.099,-23.058,-0.358,0.000,0.000,6448.157,6467.512,6495.184,6356.966,18042534554,498381737173,399312,15:01:54
sz399313,巨潮100,6637.108,-38.163,-0.572,0.000,0.000,6675.271,6696.974,6726.652,6569.778,9446779755,272742844953,399313,15:01:54
sz399314,巨潮大盘,5905.167,-26.441,-0.446,0.000,0.000,5931.608,5947.678,5971.800,5846.510,15608018883,396022692050,399314,15:01:54
sz399315,巨潮中盘,5061.704,6.867,0.136,0.000,0.000,5054.837,5061.232,5086.694,5012.342,11721575620,203602749366,399315,15:01:54
sz399316,巨潮小盘,5109.251,5.497,0.108,0.000,0.000,5103.754,5103.094,5138.661,5049.127,15741639381,174184507318,399316,15:01:54
sz399317,国证Ａ指,6023.690,-14.959,-0.248,0.000,0.000,6038.649,6045.118,6060.778,5973.671,73770440392,1084459804178,399317,15:01:54
sz399318,国证Ｂ指,4129.613,12.117,0.294,0.000,0.000,4117.496,4116.432,4129.613,4103.310,83953578,322102765,399318,15:01:54
sz399319,资源优势,1915.532,3.212,0.168,0.000,0.000,1912.320,1926.045,1927.616,1861.651,7248627558,62869474256,399319,15:01:54
sz399320,国证服务,2213.131,13.396,0.609,0.000,0.000,2199.735,2196.733,2213.131,2190.228,3646027850,31347359640,399320,15:01:54
sz399321,国证红利,8328.175,-41.186,-0.492,0.000,0.000,8369.361,8380.250,8410.962,8243.399,5202222985,118915548770,399321,15:01:54
sz399322,国证治理,12078.972,-111.869,-0.918,0.000,0.000,12190.841,12202.343,12269.325,11953.548,2810989070,101897159927,399322,15:01:54
sz399324,深证红利,14547.413,-182.605,-1.240,0.000,0.000,14730.018,14733.538,14783.786,14379.301,2994059683,79506835056,399324,15:00:03
sz399326,成长40,8101.180,26.781,0.332,0.000,0.000,8074.399,8152.613,8186.499,8003.519,1025872414,43760226816,399326,15:00:03
sz399328,深证治理,15680.364,-196.760,-1.239,0.000,0.000,15877.124,15903.782,15983.382,15495.562,1569477125,77169128921,399328,15:00:03
sz399330,深证100,7515.734,-42.939,-0.568,0.000,0.000,7558.673,7591.739,7622.804,7427.834,6967755896,235007322128,399330,15:00:03
sz399333,中小板R,11719.854,-10.452,-0.089,0.000,0.000,11730.306,11802.404,11846.434,11600.372,5216625253,138486706840,399333,15:00:03
sz399335,深证央企,5375.435,-39.420,-0.728,0.000,0.000,5414.855,5409.361,5431.642,5313.437,1878783743,39130097785,399335,15:00:03
sz399337,深证民营,7142.922,-23.131,-0.323,0.000,0.000,7166.053,7208.371,7236.229,7065.244,4204609331,159335202298,399337,15:00:03
sz399339,深证科技,9783.884,20.425,0.209,0.000,0.000,9763.459,9826.069,9876.768,9689.476,5213738445,158784146603,399339,15:00:03
sz399341,深证责任,2712.365,-20.065,-0.734,0.000,0.000,2732.430,2741.451,2757.907,2681.319,3913770691,117253274940,399341,15:00:03
sz399344,深证300R,8255.870,-21.574,-0.261,0.000,0.000,8277.444,8306.872,8337.521,8166.587,14977941184,355375078225,399344,15:00:03
sz399346,深证成长,5887.074,-53.102,-0.894,0.000,0.000,5940.176,5963.708,5988.717,5817.164,3369117439,129560967501,399346,15:00:03
sz399348,深证价值,8147.567,3.267,0.040,0.000,0.000,8144.300,8142.739,8190.231,8062.123,6393362644,76088022835,399348,15:00:03
sz399350,皖江30,2555.704,0.636,0.025,0.000,0.000,2555.068,2556.953,2588.079,2520.030,1163886677,24059606994,399350,15:01:54
sz399351,创新示范,11591.461,102.631,0.893,0.000,0.000,11488.830,11566.927,11636.368,11471.156,3888690032,100609685818,399351,15:01:54
sz399352,深企综指,10214.242,75.160,0.741,0.000,0.000,10139.082,10186.850,10238.352,10116.242,5643217856,123526604144,399352,15:01:54
sz399353,国证物流,2587.761,26.101,1.019,0.000,0.000,2561.660,2564.831,2592.394,2562.371,1846560125,17728824745,399353,15:01:54
sz399354,分析师指数,10170.998,1.201,0.012,0.000,0.000,10169.797,10199.720,10248.109,10065.949,7794487715,284416166182,399354,15:01:54
sz399355,长三角,4298.720,8.703,0.203,0.000,0.000,4290.017,4293.425,4316.379,4253.968,2417659628,57643451823,399355,15:01:54
sz399356,珠三角,13849.148,59.504,0.432,0.000,0.000,13789.644,13860.051,13957.885,13700.914,2788674495,95744184511,399356,15:01:54
sz399357,环渤海,3373.928,-5.260,-0.156,0.000,0.000,3379.188,3378.013,3387.417,3345.901,4865483643,56923535275,399357,15:01:54
sz399358,国证环保,5549.469,-23.874,-0.428,0.000,0.000,5573.343,5645.698,5645.970,5423.248,2961506646,75785036552,399358,15:01:54
sz399359,国证基建,2583.841,6.621,0.257,0.000,0.000,2577.220,2579.757,2587.636,2562.130,2150722489,19065639047,399359,15:01:54
sz399360,新硬件,4604.957,20.845,0.455,0.000,0.000,4584.112,4572.745,4645.751,4545.475,2753840788,55569155973,399360,15:01:54
